CONGRESS 2012 to 2020 in ALABAMA
,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Alabama,N/A,2018,District 1,1,20120101,"153,228","Byrne, Bradley",Incumbent,"89,226","Kennedy, Robert Jr.",Challenger,Write-in,163,Write-In,Challenger,N/A,"64,002",R,.07,63.20,36.80,
House,Alabama,N/A,2016,District 1,1,20120101,"208,083","Byrne, Bradley",Incumbent,N/A,N/A,N/A,Write-in,"7,810",Write-In,Challenger,N/A,"200,273",R,3.62,100.00,.00,
House,Alabama,N/A,2014,District 1,1,20120101,"103,758","Byrne, Bradley",Incumbent,"48,278","LeFlore, Burton R.",Challenger,Write-in,198,Write-In,Challenger,N/A,"55,480",R,.13,68.25,31.75,
House,Alabama,N/A,2012,District 1,1,20120101,"196,374","Bonner, Josiah Robbins Jr.",Incumbent,N/A,N/A,N/A,Write-in,"4,302",Scattered Write-In,Challenger,N/A,"192,072",R,2.14,100.00,.00,
House,Alabama,N/A,2018,District 2,2,20120101,"138,879","Roby, Martha",Incumbent,"86,931","Isner, Tabitha",Challenger,Write-in,420,Write-In,Challenger,N/A,"51,948",R,.19,61.50,38.50,
House,Alabama,N/A,2016,District 2,2,20120101,"134,886","Roby, Martha",Incumbent,"112,089","Mathis, Nathan",Challenger,Write-in,"29,609",Write-In,Challenger,N/A,"22,797",R,10.71,54.62,45.38,
House,Alabama,N/A,2014,District 2,2,20120101,"113,103","Roby, Martha",Incumbent,"54,692","Wright, Erick",Challenger,Write-in,157,Write-In,Challenger,N/A,"58,411",R,.09,67.41,32.59,
House,Alabama,N/A,2012,District 2,2,20120101,"180,591","Roby, Martha",Incumbent,"103,092","Ford, Therese",Challenger,Write-in,270,Scattered Write-In,Challenger,N/A,"77,499",R,.10,63.66,36.34,
House,Alabama,N/A,2018,District 3,3,20120101,"147,770","Rogers, Mike D.",Incumbent,"83,996","Hagan, Mallory",Challenger,Write-in,149,Write-In,Challenger,N/A,"63,774",R,.06,63.76,36.24,
House,Alabama,N/A,2016,District 3,3,20120101,"192,164","Rogers, Mike D.",Incumbent,"94,549","Smith, Jesse Tremain",Challenger,Write-in,391,Write-In,Challenger,N/A,"97,615",R,.14,67.02,32.98,
House,Alabama,N/A,2014,District 3,3,20120101,"103,558","Rogers, Mike D.",Incumbent,"52,816","Smith, Jesse Tremain",Challenger,Write-in,246,Write-In,Challenger,N/A,"50,742",R,.16,66.22,33.78,
