CONGRESS 2012 to 2020 in ALASKA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Alaska,N/A,2018,At Large,1,N/A,"149,779","Young, Don",Incumbent,"131,199","Galvin, Alyse  S.",Challenger,Write-in,"1,188",Write-In,Challenger,N/A,"18,580",R,0.42,53.31,46.69,
House,Alaska,N/A,2016,At Large,1,N/A,"155,088","Young, Don",Incumbent,"111,019","Lindbeck, Steve",Challenger,Libertarian,"31,770","McDermott, Jim C.",Challenger,"10,321","44,069",R,10.31,58.28,41.72,"The other vote was: Souphanavong, Bernie (No Party Affiliation) 9,093; Write-In (Write-in) 1,228"
House,Alaska,N/A,2014,At Large,1,N/A,"142,572","Young, Don",Incumbent,"114,602","Dunbar, Forrest",Challenger,Libertarian,"21,290","McDermott, Jim C.",Challenger,"1,277","27,970",R,7.61,55.44,44.56,"The other vote was: Write-In (Write-in) 1,277"
House,Alaska,N/A,2012,At Large,1,N/A,"185,296","Young, Don",Incumbent,"82,927","Cissna, Sharon M.",Challenger,Libertarian,"15,028","McDermott, Jim C.",Challenger,"6,553","102,369",R,5.19,69.08,30.92,"The other vote was: Gianoutsos, Ted (Non Affiliated) 5,589; Scattered Write-In (Write-in) 964"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CONGRESS 2012 to 2020 in ARIZONA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Arizona,N/A,2018,District 1,1,20120101,"122,784","Rogers, Wendy",Challenger,"143,240","O'Halleran, Tom",Incumbent,Write-in,65,"Shock, David",Challenger,N/A,"20,456",D,0.02,46.16,53.84,
House,Arizona,N/A,2016,District 1,1,20120101,"121,745","Babeu, Paul",Challenger,"142,219","O'Halleran, Tom",Challenger,Green,"16,746","Parrish, Ray",Challenger,N/A,"20,474",D,5.97,46.12,53.88,
House,Arizona,N/A,2014,District 1,1,20120101,"87,723","Tobin, Andy",Challenger,"97,391","Kirkpatrick, Ann",Incumbent,N/A,N/A,N/A,N/A,N/A,"9,668",D,0,47.39,52.61,
House,Arizona,N/A,2012,District 1,1,20120101,"113,594","Paton, Jonathan",Challenger,"122,774","Kirkpatrick, Ann",Challenger,Libertarian,"15,227","Allen, Kim",Challenger,N/A,"9,180",D,6.05,48.06,51.94,
House,Arizona,N/A,2018,District 2,2,20120101,"133,083","Peterson, Lea Marquez",Challenger,"161,000","Kirkpatrick, Ann",Challenger,Write-in,50,"Flayer, Jordan",Challenger,19,"27,917",D,0.02,45.25,54.75,"The other vote was: Grable, Melissa (Write-in) 19"
House,Arizona,N/A,2016,District 2,2,20120101,"179,806","McSally, Martha",Incumbent,"135,873","Heinz, Matt",Challenger,N/A,N/A,N/A,N/A,N/A,"43,933",R,0,56.96,43.04,
House,Arizona,N/A,2014,District 2,2,20120101,"109,704","McSally, Martha",Challenger,"109,543","Barber, Ron",Incumbent,Write-in,56,"Ramirez, Sampson U.",Challenger,48,161,R,0.03,50.04,49.96,"The other vote was: Dudikoff, Sydney (Write-in) 48"
House,Arizona,N/A,2012,District 2,2,20120101,"144,884","McSally, Martha",Challenger,"147,338","Barber, Ron",Incumbent,Write-in,57,"Prowell, Anthony",Challenger,N/A,"2,454",D,0.02,49.58,50.42,
House,Arizona,N/A,2018,District 3,3,20120101,"64,868","Pierson, Nicholas",Challenger,"114,650","Grijalva, Raúl M.",Incumbent,N/A,N/A,N/A,N/A,N/A,"49,782",D,0,36.13,63.87,
House,Arizona,N/A,2016,District 3,3,20120101,N/A,N/A,N/A,"148,973","Grijalva, Raúl M.",Incumbent,Write-in,"1,303","Abatecola, Bill",Challenger,759,"147,670",D,0.86,0,100,"The other vote was: Vasquez, Jaime (Write-in) 332; Martin, Harvey (Write-in) 283; Sanchez, F. (Write-in) 144"
House,Arizona,N/A,2014,District 3,3,20120101,"46,185","Saucedo Mercer, Gabriella",Challenger,"58,192","Grijalva, Raúl M.",Incumbent,Write-in,43,"Sanchez, F.",Challenger,8,"12,007",D,0.04,44.25,55.75,"The other vote was: Thomspon, Lee (Write-in) 8"
House,Arizona,N/A,2012,District 3,3,20120101,"62,663","Saucedo Mercer, Gabriella",Challenger,"98,468","Grijalva, Raúl M.",Incumbent,Libertarian,"7,567","Guerra, Blanca",Challenger,N/A,"35,805",D,4.49,38.89,61.11,
House,Arizona,N/A,2018,District 4,4,20120101,"188,842","Gosar, Paul",Incumbent,"84,521","Brill, David",Challenger,Green,"3,672","Knauer, Haryaksha Gregor",Challenger,N/A,"104,321",R,1.33,69.08,30.92,
House,Arizona,N/A,2016,District 4,4,20120101,"203,487","Gosar, Paul",Incumbent,"81,296","Weisser, Mikel",Challenger,N/A,N/A,N/A,N/A,N/A,"122,191",R,0,71.45,28.55,
House,Arizona,N/A,2014,District 4,4,20120101,"122,560","Gosar, Paul",Incumbent,"45,179","Weisser, Mikel",Challenger,Libertarian,"7,440","Rike, Chris",Challenger,N/A,"77,381",R,4.25,73.07,26.93,
House,Arizona,N/A,2012,District 4,4,20120101,"162,907","Gosar, Paul",Incumbent,"69,154","Robinson, Johnnie",Challenger,Libertarian,"9,306","Pamelia, Joe",Challenger,"2,393","93,753",R,3.82,70.2,29.8,"The other vote was: Grayson, Richard (Americans Elect) 2,393"
House,Arizona,N/A,2018,District 5,5,20120101,"186,037","Biggs, Andy",Incumbent,"127,027","Greene, Joan",Challenger,N/A,N/A,N/A,N/A,N/A,"59,010",R,0,59.42,40.58,
House,Arizona,N/A,2016,District 5,5,20120101,"205,184","Biggs, Andy",Challenger,"114,940","Fuentes, Talia",Challenger,N/A,N/A,N/A,N/A,N/A,"90,244",R,0,64.1,35.9,
House,Arizona,N/A,2014,District 5,5,20120101,"124,867","Salmon, Matt",Incumbent,"54,596","Woods, James Issac",Challenger,N/A,N/A,N/A,N/A,N/A,"70,271",R,0,69.58,30.42,
House,Arizona,N/A,2012,District 5,5,20120101,"183,470","Salmon, Matt",Challenger,"89,589","Morgan, Spencer",Challenger,N/A,N/A,N/A,N/A,N/A,"93,881",R,0,67.19,32.81,
House,Arizona,N/A,2018,District 6,6,20120101,"173,140","Schweikert, David",Incumbent,"140,559","Malik, Anita",Challenger,N/A,N/A,N/A,N/A,N/A,"32,581",R,0,55.19,44.81,
House,Arizona,N/A,2016,District 6,6,20120101,"201,578","Schweikert, David",Incumbent,"122,866","Williamson, W. John",Challenger,N/A,N/A,N/A,N/A,N/A,"78,712",R,0,62.13,37.87,
House,Arizona,N/A,2014,District 6,6,20120101,"129,578","Schweikert, David",Incumbent,"70,198","Williamson, W. John",Challenger,N/A,N/A,N/A,N/A,N/A,"59,380",R,0,64.86,35.14,
House,Arizona,N/A,2018,District 7,7,20120101,N/A,N/A,N/A,"113,044","Gallego, Ruben",Incumbent,Green,"18,706","Swing, Gary",Challenger,301,"94,338",D,14.17,0,100,"The other vote was: Bond , James IV (Write-in) 301"
House,Arizona,N/A,2016,District 7,7,20120101,"39,286","Nunez, Eve",Challenger,"119,465","Gallego, Ruben",Incumbent,Write-in,60,"Westbrooks, Neil B.",Challenger,N/A,"80,179",D,0.04,24.75,75.25,
House,Arizona,N/A,2012,District 7,7,20120101,N/A,N/A,N/A,"104,489","Pastor, Ed",Incumbent,Libertarian,"23,338","Cobb, Joe",Challenger,N/A,"81,151",D,18.26,0,100,
House,Arizona,N/A,2018,District 8,8,20120101,"168,835","Lesko, Debbie",Incumbent,"135,569","Tipirneni, Hiral",Challenger,Write-in,13,"Hummel, Steven",Challenger,N/A,"33,266",R,0,55.46,44.54,
House,Arizona,N/A,2016,District 8,8,20120101,"204,942","Franks, Trent",Incumbent,N/A,N/A,N/A,Green,"93,954","Salazar, Mark",Challenger,75,"110,988",R,31.43,100,0,"The other vote was: Keener, Hayden III (Write-in) 75"
House,Arizona,N/A,2012,District 6,6,20120101,"179,706","Schweikert, David",Incumbent,"97,666","Jette, Matthew",Challenger,Libertarian,"10,167","Anderson, Jack",Challenger,"5,638","82,040",R,3.47,64.79,35.21,"The other vote was: Salazar, Mark (Green) 5,637; Ketover, James (Write-in) 1"
House,Arizona,N/A,2014,District 7,7,20120101,N/A,N/A,N/A,"54,235","Gallego, Ruben",Challenger,Libertarian,"10,715","Cobb, Joe",Challenger,"7,502","43,520",D,14.79,0,100,"The other vote was: DeWitt, Rebecca (Americans Elect) 3,856; Penalosa, Jose (Independent) 3,496; Dunn, Gary (Write-in) 129; Ortega, Gustavo (Write-in) 17; Esquivel, Samuel (Write-in) 4"
House,Arizona,N/A,2014,District 8,8,20120101,"128,710","Franks, Trent",Incumbent,N/A,N/A,N/A,Americans Elect,"41,066","Dolgos, Stephen",Challenger,N/A,"87,644",R,24.19,100,0,
House,Arizona,N/A,2012,District 8,8,20120101,"172,809","Franks, Trent",Incumbent,"95,635","Scharer, Gene",Challenger,Americans Elect,"4,347","Dolgos, Stephen",Challenger,N/A,"77,174",R,1.59,64.37,35.63,
House,Arizona,N/A,2018,District 9,9,20120101,"101,662","Ferrara, Stephen L.",Challenger,"159,583","Stanton, Greg",Challenger,N/A,N/A,N/A,N/A,N/A,"57,921",D,0,38.91,61.09,
House,Arizona,N/A,2016,District 9,9,20120101,"108,350","Giles, Dave",Challenger,"169,055","Sinema, Kyrsten",Incumbent,Write-in,56,"Dolego, Cary",Challenger,46,"60,705",D,0.02,39.06,60.94,"The other vote was: Bello, Axel (Write-in) 46"
House,Arizona,N/A,2014,District 9,9,20120101,"67,841","Rogers, Wendy",Challenger,"88,609","Sinema, Kyrsten",Incumbent,Libertarian,"5,612","Gammill, Powell E.",Challenger,N/A,"20,768",D,3.46,43.36,56.64,
House,Arizona,N/A,2012,District 9,9,20120101,"111,630","Parker, Vernon B.",Challenger,"121,881","Sinema, Kyrsten",Challenger,Libertarian,"16,620","Gammill, Powell E.",Challenger,N/A,"10,251",D,6.64,47.81,52.19,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CONGRESS 2012 to 2020 in ARKANSAS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Arkansas,N/A,2018,District 1,1,20120101,"138,757","Crawford, Rick",Incumbent,"57,907","Desai, Chintan",Challenger,Libertarian,"4,581","Presley, Elvis",Challenger,N/A,"80,850",R,2.28,70.56,29.44,
House,Arkansas,N/A,2016,District 1,1,20120101,"183,866","Crawford, Rick",Incumbent,N/A,N/A,N/A,Libertarian,"57,181","West, Mark",Challenger,N/A,"126,685",R,23.72,100,0,
House,Arkansas,N/A,2014,District 1,1,20120101,"124,139","Crawford, Rick",Incumbent,"63,555","McPherson, Jackie",Challenger,Libertarian,"8,562","Willhite, Brian Scott",Challenger,N/A,"60,584",R,4.36,66.14,33.86,
House,Arkansas,N/A,2012,District 1,1,20120101,"138,800","Crawford, Rick",Incumbent,"96,601","Ellington, Scott",Challenger,Libertarian,"6,427","Paxton, Jessica",Challenger,"5,015","42,199",R,2.6,58.96,41.04,"The other vote was: Holloway, Jacob (Green) 5,015"
House,Arkansas,N/A,2018,District 2,2,20120101,"132,125","Hill, French",Incumbent,"116,135","Tucker, Clarke",Challenger,Libertarian,"5,193","Swafford, Joe Ryne",Challenger,N/A,"15,990",R,2.05,53.22,46.78,
House,Arkansas,N/A,2016,District 2,2,20120101,"176,472","Hill, French",Incumbent,"111,347","Curry, Dianne",Challenger,Libertarian,"14,342","Hayes, Chris",Challenger,303,"65,125",R,4.74,61.31,38.69,The other vote was: Write-In (Write-in) 303
House,Arkansas,N/A,2014,District 2,2,20120101,"123,073","Hill, French",Challenger,"103,477","Hays, Patrick",Challenger,Libertarian,"10,780","Standiford, Debbie",Challenger,N/A,"19,596",R,4.54,54.32,45.68,
House,Arkansas,N/A,2012,District 2,2,20120101,"158,175","Griffin, Tim",Incumbent,"113,156","Rule, Herb",Challenger,Green,"8,566","Ward, Barbara",Challenger,"6,701","45,019",R,2.99,58.3,41.7,"The other vote was: Hayes, Chris (Libertarian) 6,701"
