CONGRESS 2012 to 2020 in IDAHO,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Idaho,N/A,2018,District 1,1,20120101,"197,719","Fulcher, Russell M.",Challenger,"96,922","McNeil, Cristina",Challenger,Independent,"6,188","Fleming, Natalie M.",Challenger,"14,240","100,797",R,1.96,67.11,32.89,"The other vote was: Howard, William S. (Libertarian) 5,435; Farmer, Paul (Independent) 4,479; Richardson, Marvin (Constitution) 3,181; Counsil, Gordon (Independent) 1,054; Rath, Michael J. (Write-in) 91"
House,Idaho,N/A,2016,District 1,1,20120101,"242,252","Labrador, Raul R.",Incumbent,"113,052","Piotrowski, James",Challenger,Write-in,53,Write-In,Challenger,N/A,"129,200",R,0.01,68.18,31.82,
House,Idaho,N/A,2014,District 1,1,20120101,"143,580","Labrador, Raul R.",Incumbent,"77,277","Ringo, Shirley G.",Challenger,Write-in,7,"McCandless, Reed C.",Challenger,N/A,"66,303",R,0,65.01,34.99,
House,Idaho,N/A,2012,District 1,1,20120101,"199,402","Labrador, Raul R.",Incumbent,"97,450","Farris, Jimmy",Challenger,Libertarian,"12,265","Oates, Rob",Challenger,"7,607","101,952",R,3.87,67.17,32.83,"The other vote was: Pro-Life (Independent) 7,607"
House,Idaho,N/A,2018,District 2,2,20120101,"170,274","Simpson, Michael K.",Incumbent,"110,381","Swisher, Aaron",Challenger,N/A,N/A,N/A,N/A,N/A,"59,893",R,0,60.67,39.33,
House,Idaho,N/A,2016,District 2,2,20120101,"205,292","Simpson, Michael K.",Incumbent,"95,940","Martinez, Jennifer",Challenger,Constitution,"25,005","Tomkins, Anthony",Challenger,N/A,"109,352",R,7.66,68.15,31.85,
House,Idaho,N/A,2014,District 2,2,20120101,"131,492","Simpson, Michael K.",Incumbent,"82,801","Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,"48,691",R,0,61.36,38.64,
House,Idaho,N/A,2012,District 2,2,20120101,"207,412","Simpson, Michael K.",Incumbent,"110,847","LeFavour, Nicole",Challenger,Write-in,235,"Chappell, Jack Wayne",Challenger,N/A,"96,565",R,0.07,65.17,34.83,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CONGRESS 2012 to 2020 in ILLINOIS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Illinois,N/A,2018,District 1,1,20120101,"50,960","Tillman, Jimmy Lee II",Challenger,"189,560","Rush, Bobby L.",Incumbent,Independent,"17,365","Rudbeck, Thomas",Challenger,N/A,"138,600",D,6.73,21.19,78.81,
House,Illinois,N/A,2016,District 1,1,20120101,"81,817","Deuser, August (O'Neill)",Challenger,"234,037","Rush, Bobby L.",Incumbent,Write-in,8,"Carson, Tabitha",Challenger,N/A,"152,220",D,0,25.9,74.1,
House,Illinois,N/A,2014,District 1,1,20120101,"59,749","Tillman, Jimmy Lee II",Challenger,"162,268","Rush, Bobby L.",Incumbent,N/A,N/A,N/A,N/A,N/A,"102,519",D,0,26.91,73.09,
