CONGRESS 2012 to 2020 in MICHIGAN
,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Michigan,N/A,2018,District 1,1,20120101,"187,251","Bergman, Jack",Incumbent,"145,246","Morgan, Matthew",Challenger,N/A,N/A,N/A,N/A,N/A,"42,005",R,.00,56.32,43.68,
House,Michigan,N/A,2016,District 1,1,20120101,"197,777","Bergman, Jack",Challenger,"144,334","Johnson, Lonnie Barton",Challenger,Libertarian,"13,386","Bostow, Diane",Challenger,"4,774","53,443",R,3.72,57.81,42.19,"The other vote was: Boal, Ellis (Green) 4,774"
House,Michigan,N/A,2014,District 1,1,20120101,"130,414","Benishek, Dan",Incumbent,"113,263","Cannon, Jerry",Challenger,Libertarian,"3,823","Gnadt, Loel",Challenger,"2,631","17,151",R,1.53,53.52,46.48,"The other vote was: Boal, Ellis (Green) 2,631"
House,Michigan,N/A,2012,District 1,1,20120101,"167,060","Benishek, Dan",Incumbent,"165,179","McDowell, Gary",Challenger,Libertarian,"10,630","Salvette, Emily",Challenger,"4,168","1,881",R,3.06,50.28,49.72,"The other vote was: Boal, Ellis (Green) 4,168"
House,Michigan,N/A,2018,District 2,2,20120101,"168,970","Huizenga, Bill",Incumbent,"131,254","Davidson, Rob",Challenger,U.S. Taxpayers,"5,239","Graeser, Ronald E.",Challenger,N/A,"37,716",R,1.72,56.28,43.72,
House,Michigan,N/A,2016,District 2,2,20120101,"212,508","Huizenga, Bill",Incumbent,"110,391","Murphy, Dennis B.",Challenger,Libertarian,"8,154","Haas, Erwin J.",Challenger,"8,275","102,117",R,2.40,65.81,34.19,"The other vote was: Brady, Matthew A. (Green) 5,353; Graeser, Ronald E. (U.S. Taxpayers) 2,904; Arnold, Joshua (Write-in) 18"
House,Michigan,N/A,2014,District 2,2,20120101,"135,568","Huizenga, Bill",Incumbent,"70,851","Vanderstelt, Dean",Challenger,Libertarian,"3,877","Welch, Ronald II",Challenger,"2,776","64,717",R,1.82,65.68,34.32,"The other vote was: Graeser, Ronald E. (U.S. Taxpayers) 2,776"
House,Michigan,N/A,2012,District 2,2,20120101,"194,653","Huizenga, Bill",Incumbent,"108,973","German, Willie Jr.",Challenger,Libertarian,"8,750","Buzuma, Mary",Challenger,"5,891","85,680",R,2.75,64.11,35.89,"The other vote was: Graeser, Ronald E. (U.S. Taxpayers) 3,176; Opalicky, William (Green) 2,715"
House,Michigan,N/A,2018,District 3,3,20120101,"169,107","Amash, Justin",Incumbent,"134,185","Albro, Cathy",Challenger,U.S. Taxpayers,"7,445","Gerrard, Ted",Challenger,3,"34,922",R,2.40,55.76,44.24,"The other vote was: Farrington, Joe (Write-in) 3"
House,Michigan,N/A,2016,District 3,3,20120101,"203,545","Amash, Justin",Incumbent,"128,400","Smith, Douglas",Challenger,U.S. Taxpayers,"10,420","Gerrard, Ted",Challenger,N/A,"75,145",R,3.04,61.32,38.68,
House,Michigan,N/A,2014,District 3,3,20120101,"125,754","Amash, Justin",Incumbent,"84,720","Goodrich, Bob",Challenger,Green,"6,691","Duncan, Tonya",Challenger,N/A,"41,034",R,3.08,59.75,40.25,
House,Michigan,N/A,2012,District 3,3,20120101,"171,675","Amash, Justin",Incumbent,"144,108","Pestka, Steve",Challenger,Libertarian,"10,498","Gelineau, Bill",Challenger,2,"27,567",R,3.22,54.36,45.64,"The other vote was: Butler, Steven (Write-in) 2"
House,Michigan,N/A,2018,District 4,4,20120101,"178,510","Moolenaar, John",Incumbent,"106,540","Hilliard, Jerome",Challenger,N/A,N/A,N/A,N/A,N/A,"71,970",R,.00,62.62,37.38,
House,Michigan,N/A,2016,District 4,4,20120101,"194,572","Moolenaar, John",Incumbent,"101,277","Wirth, Debra Freidell",Challenger,Libertarian,"8,516","Schwartz, Leonard",Challenger,"11,386","93,295",R,2.70,65.77,34.23,"The other vote was: Zimmer, George (U.S. Taxpayers) 5,595; Salvi, Jordan (Green) 3,953; Butkovich, Keith (Natural Law) 1,838"
House,Michigan,N/A,2014,District 4,4,20120101,"123,962","Moolenaar, John",Challenger,"85,777","Holmes, Jeff",Challenger,U.S. Taxpayers,"4,990","Zimmer, George",Challenger,"4,694","38,185",R,2.27,59.10,40.90,"The other vote was: White, William F. (Libertarian) 4,694"
House,Michigan,N/A,2012,District 4,4,20120101,"197,386","Camp, Dave",Incumbent,"104,996","Wirth, Debra Freidell",Challenger,Libertarian,"4,285","Gelineau, John",Challenger,"6,282","92,390",R,1.37,65.28,34.72,"The other vote was: Zimmer, George (U.S. Taxpayers) 3,506; Timmons, Pat (Green) 2,776"
House,Michigan,N/A,2018,District 5,5,20120101,"99,265","Wines, Travis",Challenger,"164,502","Kildee, Daniel",Incumbent,Working Class,"12,646","Goodwin, Kathy",Challenger,N/A,"65,237",D,4.58,37.63,62.37,
House,Michigan,N/A,2016,District 5,5,20120101,"112,102","Hardwick, Allen",Challenger,"195,279","Kildee, Daniel",Incumbent,Libertarian,"7,006","Sluka, Steve",Challenger,"4,904","83,177",D,2.19,36.47,63.53,"The other vote was: Mikkelson, Harley G. (Green) 4,904"
House,Michigan,N/A,2014,District 5,5,20120101,"69,222","Hardwick, Allen",Challenger,"148,182","Kildee, Daniel",Incumbent,Libertarian,"4,734","Jones, Harold H.",Challenger,N/A,"78,960",D,2.13,31.84,68.16,
House,Michigan,N/A,2012,District 5,5,20120101,"103,931","Slezak, Jim",Challenger,"214,531","Kildee, Daniel",Challenger,No Party Affiliation,"6,694","Davenport, David",Challenger,"4,990","110,600",D,2.03,32.64,67.36,"The other vote was: Creswell, Gregory (Libertarian) 4,990"
House,Michigan,N/A,2018,District 6,6,20120101,"147,436","Upton, Fred",Incumbent,"134,082","Longjohn, Matt",Challenger,U.S. Taxpayers,"11,920","Young, Stephen J.",Challenger,N/A,"13,354",R,4.06,52.37,47.63,
House,Michigan,N/A,2016,District 6,6,20120101,"193,259","Upton, Fred",Incumbent,"119,980","Clements, Paul C.",Challenger,Libertarian,"16,248","Wenke, Lorence",Challenger,78,"73,279",R,4.93,61.70,38.30,"The other vote was: Overton, Richard Miller (Write-in) 78"
House,Michigan,N/A,2014,District 6,6,20120101,"116,801","Upton, Fred",Incumbent,"84,391","Clements, Paul C.",Challenger,Libertarian,"5,530","Haas, Erwin J.",Challenger,"2,254","32,410",R,2.65,58.05,41.95,"The other vote was: Lawrence, John (Green) 2,254"
House,Michigan,N/A,2012,District 6,6,20120101,"174,955","Upton, Fred",Incumbent,"136,563","O'Brien, Mike",Challenger,Libertarian,"6,366","Gelineau, Christie",Challenger,"2,591","38,392",R,1.99,56.16,43.84,"The other vote was: Gatties, Jason (U.S. Taxpayers) 2,591"
House,Michigan,N/A,2018,District 7,7,20120101,"158,730","Walberg, Timothy",Incumbent,"136,330","Driskell, Gretchen D.",Challenger,N/A,N/A,N/A,N/A,N/A,"22,400",R,.00,53.80,46.20,
House,Michigan,N/A,2016,District 7,7,20120101,"184,321","Walberg, Timothy",Incumbent,"134,010","Driskell, Gretchen D.",Challenger,Libertarian,"16,476","Proctor, Kenneth L.",Challenger,N/A,"50,311",R,4.92,57.90,42.10,
House,Michigan,N/A,2014,District 7,7,20120101,"119,564","Walberg, Timothy",Incumbent,"92,083","Byrnes, Pam",Challenger,Libertarian,"4,531","Proctor, Kenneth L.",Challenger,"7,507","27,481",R,2.03,56.49,43.51,"The other vote was: Swartout, David Bernard (No Party Affiliation) 4,369; Strawcutter, Rick (U.S. Taxpayers) 3,138"
House,Michigan,N/A,2012,District 7,7,20120101,"169,668","Walberg, Timothy",Incumbent,"136,849","Haskell, Kurt R.",Challenger,Libertarian,"8,088","Procter, Ken",Challenger,"3,464","32,819",R,2.54,55.35,44.65,"The other vote was: Wunsch, Richard (Green) 3,464"
House,Michigan,N/A,2018,District 8,8,20120101,"159,782","Bishop, Mike",Incumbent,"172,880","Slotkin, Elissa",Challenger,Libertarian,"6,302","Ellison, Brian",Challenger,"2,629","13,098",D,1.84,48.03,51.97,"The other vote was: Lillis, David J. (U.S. Taxpayers) 2,629"
House,Michigan,N/A,2016,District 8,8,20120101,"205,629","Bishop, Mike",Incumbent,"143,791","Shkreli, Suzanna",Challenger,Libertarian,"9,619","Wood, Jeff",Challenger,"7,929","61,838",R,2.62,58.85,41.15,"The other vote was: Green, Maria (Green) 5,679; Burgess, Jeremy (Natural Law) 2,250"
House,Michigan,N/A,2014,District 8,8,20120101,"132,739","Bishop, Mike",Challenger,"102,269","Schertzing, Eric",Challenger,Libertarian,"4,557","Weeks, James II",Challenger,"3,560","30,470",R,1.87,56.48,43.52,"The other vote was: Casha, Jim (Greenback) 1,880; Burgess, Jeremy (Natural Law) 1,680"
House,Michigan,N/A,2012,District 8,8,20120101,"202,217","Rogers, Mike",Incumbent,"128,657","Enderle, Lance",Challenger,Libertarian,"8,083","Goebel, Daniel",Challenger,"6,097","73,560",R,2.34,61.12,38.88,"The other vote was: Brooks, Preston (No Party Affiliation) 6,097"
House,Michigan,N/A,2018,District 9,9,20120101,"112,123","Stearns, Candius",Challenger,"181,734","Levin, Andy",Challenger,Working Class,"6,797","Kirby, Andrea",Challenger,"3,909","69,611",D,2.23,38.16,61.84,"The other vote was: McDermott, John (Green) 3,909"
House,Michigan,N/A,2016,District 9,9,20120101,"128,937","Morse, Christopher R.",Challenger,"199,661","Levin, Sander M.",Incumbent,Libertarian,"9,563","Orlando, Matthew",Challenger,"6,614","70,724",D,2.77,39.24,60.76,"The other vote was: McDermott, John (Green) 6,614"
House,Michigan,N/A,2014,District 9,9,20120101,"81,470","Brikho, George",Challenger,"136,342","Levin, Sander M.",Incumbent,Libertarian,"4,792","Creswell, Gregory",Challenger,"3,153","54,872",D,2.12,37.40,62.60,"The other vote was: McDermott, John (Green) 3,153"
House,Michigan,N/A,2012,District 9,9,20120101,"114,760","Volaric, Don",Challenger,"208,846","Levin, Sander M.",Incumbent,Libertarian,"6,100","Fulner, Jim",Challenger,"7,610","94,086",D,1.81,35.46,64.54,"The other vote was: Williams, Julia (Green) 4,708; Townsend, Les (U.S. Taxpayers) 2,902"
House,Michigan,N/A,2018,District 10,10,20120101,"182,808","Mitchell, Paul",Incumbent,"106,061","Bizon, Kimberly",Challenger,Independent,"11,344","Peruski, Jeremy",Challenger,"2,851","76,747",R,3.74,63.28,36.72,"The other vote was: Mikkelson, Harley G. (Green) 2,851"
House,Michigan,N/A,2016,District 10,10,20120101,"215,132","Mitchell, Paul",Challenger,"110,112","Accavitti, Frank Jr.",Challenger,Libertarian,"10,612","Gioia, Lisa Lane",Challenger,"5,127","105,020",R,3.11,66.14,33.86,"The other vote was: Nofs, Benjamin (Green) 5,127"
House,Michigan,N/A,2014,District 10,10,20120101,"157,069","Miller, Candice S.",Incumbent,"67,143","Stadler, Chuck",Challenger,Green,"4,480","Mikkelson, Harley G.",Challenger,N/A,"89,926",R,1.96,70.05,29.95,
House,Michigan,N/A,2012,District 10,10,20120101,"226,075","Miller, Candice S.",Incumbent,"97,734","Stadler, Chuck",Challenger,Libertarian,"4,803","Dashairya, Bhagwan",Challenger,N/A,"128,341",R,1.46,69.82,30.18,
House,Michigan,N/A,2018,District 11,11,20120101,"158,463","Epstein, Lena",Challenger,"181,912","Stevens, Haley",Challenger,Libertarian,"5,799","Schwartz, Leonard",Challenger,"4,727","23,449",D,1.65,46.56,53.44,"The other vote was: Nye, Cooper (Independent) 4,727"
House,Michigan,N/A,2016,District 11,11,20120101,"200,872","Trott, Dave A.",Incumbent,"152,461","Kumar, Anil",Challenger,Independent,"16,610","Bentivolio, Kerry",Challenger,"9,545","48,411",R,4.38,56.85,43.15,"The other vote was: Osment, Jonathan  Ray (Libertarian) 9,545"
House,Michigan,N/A,2014,District 11,11,20120101,"140,435","Trott, Dave A.",Challenger,"101,681","McKenzie, Bobby",Challenger,Libertarian,"7,711","Tatar, John",Challenger,"1,411","38,754",R,3.07,58.00,42.00,"The other vote was: Bentivolio, Kerry (Write-in) 1,411"
House,Michigan,N/A,2018,District 12,12,20120101,"85,115","Jones, Jeff",Challenger,"200,588","Dingell, Debbie",Incumbent,Working Class,"6,712","Walcowicz, Gary",Challenger,"2,213","115,473",D,2.28,29.79,70.21,"The other vote was: Niemuth, Niles (Socialist Equality) 2,213"
House,Michigan,N/A,2014,District 12,12,20120101,"64,716","Bowman, Terrence",Challenger,"134,346","Dingell, Debbie",Challenger,No Party Affiliation,"5,039","Walkowicz, Gary",Challenger,"2,559","69,630",D,2.44,32.51,67.49,"The other vote was: Dashairya, Bhagwan (Libertarian) 2,559"
House,Michigan,N/A,2012,District 11,11,20120101,"181,788","Bentivolio, Kerry",Challenger,"158,879","Taj, Syed",Challenger,Libertarian,"9,637","Tatar, John",Challenger,"7,835","22,909",R,2.69,53.36,46.64,"The other vote was: Duke, Steven (Green) 4,569; Johnson, Daniel (Natural Law) 3,251; Van Gilder, James (Write-in) 14; Sherman, Ralph (Write-in) 1"
House,Michigan,N/A,2016,District 12,12,20120101,"96,104","Jones, Jeff",Challenger,"211,378","Dingell, Debbie",Incumbent,Working Class,"9,183","Walkowicz, Gary",Challenger,"11,877","115,274",D,2.80,31.26,68.74,"The other vote was: Bagwell, Tom (Libertarian) 7,489; Calewarts, Dylan (Green) 4,377; Virk, Ejaz (Write-in) 11"
House,Michigan,N/A,2012,District 12,12,20120101,"92,472","Kallgren, Cynthia",Challenger,"216,884","Dingell, John D. Jr.",Incumbent,Libertarian,"9,867","Secula, Richard",Challenger,N/A,"124,412",D,3.09,29.89,70.11,
House,Michigan,N/A,2018,District 13,13,20120101,N/A,N/A,N/A,"165,355","Tlaib, Rashida",Challenger,Working Class,"22,186","Johnson, Sam",Challenger,"8,758","143,169",D,11.30,.00,100.00,"The other vote was: Wilcoxon, D. Etta (Green) 7,980; Jones, Brenda (Write-in) 633; 	Dudenhoefer, David Anthony (Write-in) 75; Pommerville, Jonathan Lee (Write-in) 61; Simpson, DaNetta L. (Write-in) 3; Conyers, John III (Write-in) 2; Kinniebrew, Royce (Write-in) 2; Knott, Kimberly (Write-in) 1; Casha, James S. (Write-in) 1; Gardner, Douglas W. (Write-in) 0"
House,Michigan,N/A,2016,District 13,13,20120101,"40,541","Gorman, Jeff",Challenger,"198,771","Conyers, John Jr.",Incumbent,Libertarian,"9,648","Hayden, Tiffany",Challenger,"8,837","158,230",D,3.74,16.94,83.06,"The other vote was: Johnson, Sam (Working Class) 8,835; Lynch, Clyde Darnell (Write-in) 2"
House,Michigan,N/A,2014,District 13,13,20120101,"27,234","Gorman, Jeff",Challenger,"132,710","Conyers, John Jr.",Incumbent,Libertarian,"3,537","Sharer, Chris",Challenger,"3,466","105,476",D,2.12,17.03,82.97,"The other vote was: Johnson, Sam (No Party Affiliation) 3,466"
House,Michigan,N/A,2012,District 13,13,20120101,"38,769","Sawicki, Harry",Challenger,"235,336","Conyers, John Jr.",Incumbent,Libertarian,"6,076","Sharer, Chris",Challenger,"4,089","196,567",D,2.14,14.14,85.86,"The other vote was: Gray, Martin (U.S. Taxpayers) 4,089"
House,Michigan,N/A,2018,District 14,14,20120101,"45,899","	Herschfus, Marc S.",Challenger,"214,334","Lawrence, Brenda",Incumbent,Working Class,"4,761","Kolody, Philip",Challenger,N/A,"168,435",D,1.80,17.64,82.36,
House,Michigan,N/A,2016,District 14,14,20120101,"58,103","Klausner, Howard",Challenger,"244,135","Lawrence, Brenda",Incumbent,Libertarian,"4,893","Creswell, Gregory",Challenger,"3,843","186,032",D,1.57,19.22,80.78,"The other vote was: Squier, Marcia (Green) 3,843"
House,Michigan,N/A,2014,District 14,14,20120101,"41,801","Barr, Christina",Challenger,"165,272","Lawrence, Brenda",Challenger,Libertarian,"3,366","Schwartz, Leonard",Challenger,"2,029","123,471",D,1.58,20.19,79.81,"The other vote was: Boyle, Stephen (Green) 1,999; Pruden, Calvin (Write-in) 30"
House,Michigan,N/A,2012,District 14,14,20120101,"51,395","Hauler, John",Challenger,"270,450","Peters, Gary C.",Incumbent,Libertarian,"3,968","Schwartz, Leonard",Challenger,"2,979","219,055",D,1.21,15.97,84.03,"The other vote was: Campbell, Douglas (Green) 2,979"
,
,
,
CONGRESS 2012 to 2020 in MINNESOTA
,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Minnesota,N/A,2018,District 1,1,20120101,"146,200","Hagedorn, James",Challenger,"144,885","Feehan, Dan",Challenger,Write-in,576,Write-In,Challenger,N/A,"1,315",R,.20,50.23,49.77,
House,Minnesota,N/A,2016,District 1,1,20120101,"166,526","Hagedorn, James",Challenger,"169,074","Walz, Timothy J.",Incumbent,Write-in,277,Write-In,Challenger,N/A,"2,548",D,.08,49.62,50.38,
House,Minnesota,N/A,2014,District 1,1,20120101,"103,536","Hagedorn, James",Challenger,"122,851","Walz, Timothy J.",Incumbent,Write-in,308,Write-In,Challenger,N/A,"19,315",D,.14,45.73,54.27,
House,Minnesota,N/A,2012,District 1,1,20120101,"142,164","Quist, Allen",Challenger,"193,211","Walz, Timothy J.",Incumbent,Write-in,505,Scattered Write-In,Challenger,N/A,"51,047",D,.15,42.39,57.61,
House,Minnesota,N/A,2018,District 2,2,20120101,"159,344","Lewis, Jason Mark",Incumbent,"177,958","Craig, Angela",Challenger,Write-in,666,Write-In,Challenger,N/A,"18,614",D,.20,47.24,52.76,
House,Minnesota,N/A,2016,District 2,2,20120101,"173,970","Lewis, Jason Mark",Challenger,"167,315","Craig, Angela",Challenger,Independence,"28,869","Overby, Paula",Challenger,360,"6,655",R,7.79,50.97,49.03,The other vote was: Write-In (Write-in) 360
House,Minnesota,N/A,2014,District 2,2,20120101,"137,778","Kline, John",Incumbent,"95,565","Obermueller, Mike",Challenger,Independence,"12,319","Overby, Paula",Challenger,186,"42,213",R,5.01,59.05,40.95,The other vote was: Write-In (Write-in) 186
House,Minnesota,N/A,2012,District 2,2,20120101,"193,587","Kline, John",Incumbent,"164,338","Obermueller, Mike",Challenger,Write-in,521,Scattered Write-In,Challenger,N/A,"29,249",R,.15,54.09,45.91,
House,Minnesota,N/A,2018,District 3,3,20120101,"160,839","Paulsen, Erik",Incumbent,"202,404","Phillips, Dean",Challenger,Write-in,706,Write-In,Challenger,N/A,"41,565",D,.19,44.28,55.72,
House,Minnesota,N/A,2016,District 3,3,20120101,"223,077","Paulsen, Erik",Incumbent,"169,243","Bonoff, Terri E.",Challenger,Write-in,"1,144",Write-In,Challenger,N/A,"53,834",R,.29,56.86,43.14,
House,Minnesota,N/A,2014,District 3,3,20120101,"167,515","Paulsen, Erik",Incumbent,"101,846","Sund, Sharon",Challenger,Write-in,224,Write-In,Challenger,N/A,"65,669",R,.08,62.19,37.81,
House,Minnesota,N/A,2012,District 3,3,20120101,"222,335","Paulsen, Erik",Incumbent,"159,937","Barnes, Brian",Challenger,Write-in,433,Scattered Write-In,Challenger,N/A,"62,398",R,.11,58.16,41.84,
House,Minnesota,N/A,2018,District 4,4,20120101,"97,747","Ryan, Greg",Challenger,"216,865","McCollum, Betty",Incumbent,Legal Marijuana Now,"13,776","Sindt, Susan Pendergast",Challenger,226,"119,118",D,4.19,31.07,68.93,The other vote was: Write-In (Write-in) 226
House,Minnesota,N/A,2016,District 4,4,20120101,"121,032","Ryan, Greg",Challenger,"203,299","McCollum, Betty",Incumbent,Legalize Marijuana,"27,152","Sindt, Susan Pendergast",Challenger,461,"82,267",D,7.71,37.32,62.68,The other vote was: Write-In (Write-in) 461
House,Minnesota,N/A,2014,District 4,4,20120101,"79,492","Wahlgren, Sharna",Challenger,"147,857","McCollum, Betty",Incumbent,Independence,"14,059","Thomas, David",Challenger,229,"68,365",D,5.82,34.96,65.04,The other vote was: Write-In (Write-in) 229
House,Minnesota,N/A,2012,District 4,4,20120101,"109,659","Hernandez, Tony",Challenger,"216,685","McCollum, Betty",Incumbent,Independent,"21,135","Carlson, Steve",Challenger,512,"107,026",D,6.07,33.60,66.40,The other vote was: Scattered Write-In (Write-in) 512
House,Minnesota,N/A,2018,District 5,5,20120101,"74,440"," Zielinski, Jennifer",Challenger,"267,703"," Omar, Ilhan",Challenger,Write-in,"1,215",Write-In,Challenger,N/A,"193,263",D,.35,21.76,78.24,
House,Minnesota,N/A,2016,District 5,5,20120101,"80,660","Drake, Frank Nelson",Challenger,"249,964","Ellison, Keith",Incumbent,Legalize Marijuana,"30,759","Schuller, Dennis",Challenger,499,"169,304",D,8.50,24.40,75.60,The other vote was: Write-In (Write-in) 499
House,Minnesota,N/A,2014,District 5,5,20120101,"56,577","Daggett, Doug J.",Challenger,"167,079","Ellison, Keith",Incumbent,Independence,"12,001","Bauer, Lee",Challenger,353,"110,502",D,5.08,25.30,74.70,The other vote was: Write-In (Write-in) 353
House,Minnesota,N/A,2012,District 5,5,20120101,"88,753","Fields, Chris",Challenger,"262,102","Ellison, Keith",Incumbent,Write-in,"1,114",Scattered Write-In,Challenger,N/A,"173,349",D,.32,25.30,74.70,
House,Minnesota,N/A,2018,District 6,6,20120101,"192,931","Emmer, Tom",Incumbent,"122,332","Todd, Ian",Challenger,Write-in,463,Write-In,Challenger,N/A,"70,599",R,.15,61.20,38.80,
House,Minnesota,N/A,2016,District 6,6,20120101,"235,380","Emmer, Tom",Incumbent,"123,008","Snyder, David",Challenger,Write-in,536,Write-In,Challenger,N/A,"112,372",R,.15,65.68,34.32,
House,Minnesota,N/A,2014,District 6,6,20120101,"133,328","Emmer, Tom",Challenger,"90,926","Perske, Joe",Challenger,Independence,"12,457","Denney, John",Challenger,135,"42,402",R,5.26,59.45,40.55,The other vote was: Write-In (Write-in) 135
House,Minnesota,N/A,2012,District 6,6,20120101,"179,240","Bachmann, Michele",Incumbent,"174,944","Graves, Jim",Challenger,Write-in,969,Scattered Write-In,Challenger,N/A,"4,296",R,.27,50.61,49.39,
House,Minnesota,N/A,2018,District 7,7,20120101,"134,668","Hughes, Dave",Challenger,"146,672","Peterson, Collin C.",Incumbent,Write-in,169,Write-In,Challenger,N/A,"12,004",D,.06,47.87,52.13,
House,Minnesota,N/A,2016,District 7,7,20120101,"156,952","Hughes, Dave",Challenger,"173,589","Peterson, Collin C.",Incumbent,Write-in,307,Write-In,Challenger,N/A,"16,637",D,.09,47.48,52.52,
House,Minnesota,N/A,2014,District 7,7,20120101,"109,955","Westrom, Torrey Norman",Challenger,"130,546","Peterson, Collin C.",Incumbent,Write-in,334,Write-In,Challenger,N/A,"20,591",D,.14,45.72,54.28,
House,Minnesota,N/A,2012,District 7,7,20120101,"114,151","Byberg, Lee",Challenger,"197,791","Peterson, Collin C.",Incumbent,Independent,"15,298","Steele, Adam",Challenger,336,"83,640",D,4.67,36.59,63.41,The other vote was: Scattered Write-In (Write-in) 336
House,Minnesota,N/A,2018,District 8,8,20120101,"159,364","Stauber, Pete",Challenger,"141,950","Radinovich, Joseph",Challenger,Independence,"12,741","Sandman, Ray",Challenger,156,"17,414",R,4.05,52.89,47.11,The other vote was: Write-In (Write-in) 156
House,Minnesota,N/A,2016,District 8,8,20120101,"177,089","Mills, Stewart",Challenger,"179,098","Nolan, Richard M.",Incumbent,Write-in,792,Write-In,Challenger,N/A,"2,009",D,.22,49.72,50.28,
House,Minnesota,N/A,2014,District 8,8,20120101,"125,358","Mills, Stewart",Challenger,"129,090","Nolan, Richard M.",Incumbent,Green,"11,450","Sandman, Ray",Challenger,185,"3,732",D,4.30,49.27,50.73,The other vote was: Write-In (Write-in) 185
House,Minnesota,N/A,2012,District 8,8,20120101,"160,520","Cravaack, Chip",Incumbent,"191,976","Nolan, Richard M.",Challenger,Write-in,"1,167",Scattered Write-In,Challenger,N/A,"31,456",D,.33,45.54,54.46,
,
,
,
CONGRESS 2012 to 2020 in MISSISSIPPI
,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Mississippi,N/A,2018,District 1,1,20120101,"158,245","Kelly, Trent",Incumbent,"76,601","Wadkins, Randy",Challenger,Reform,"1,675","Hill, Tracella Lou",Challenger,N/A,"81,644",R,.71,67.38,32.62,
