CONGRESS 2012 to 2020 in NEW YORK
,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,New York,N/A,2018,District 1,1,20120101,"139,027","Zeldin, Lee M.",Incumbent,"127,991"," Gershon, Perry",Challenger,Women's Equality Party,"2,988","Browning, Kate M.",Challenger,47,"11,036",R,1.11,52.07,47.93,The other vote was: Scattering (Write-in) 47
House,New York,N/A,2016,District 1,1,20120101,"188,499","Zeldin, Lee M.",Incumbent,"135,278","Throne-Holst, Anna",Challenger,Write-in,113,Scattering,Challenger,N/A,"53,221",R,.03,58.22,41.78,
House,New York,N/A,2014,District 1,1,20120101,"94,035","Zeldin, Lee M.",Challenger,"78,722","Bishop, Timothy H.",Incumbent,Write-in,108,Write-In,Challenger,N/A,"15,313",R,.06,54.43,45.57,
House,New York,N/A,2012,District 1,1,20120101,"132,304","Altschuler, Randy",Challenger,"146,179","Bishop, Timothy H.",Incumbent,Write-in,176,Scattered Write-In,Challenger,N/A,"13,875",D,.06,47.51,52.49,
House,New York,N/A,2018,District 2,2,20120101,"128,078","King, Peter T.",Incumbent,"113,074","Grechen  Shirley, Liuba",Challenger,Write-in,65,Scattering,Challenger,N/A,"15,004",R,.03,53.11,46.89,
House,New York,N/A,2016,District 2,2,20120101,"181,506","King, Peter T.",Incumbent,"110,938","Gregory, DuWayne",Challenger,Write-in,151,Scattering,Challenger,N/A,"70,568",R,.05,62.07,37.93,
House,New York,N/A,2014,District 2,2,20120101,"95,177","King, Peter T.",Incumbent,"41,814","Maher, Patricia M.",Challenger,Green,"2,281","Stevenson, William D.",Challenger,58,"53,363",R,1.64,69.48,30.52,The other vote was: Write-In (Write-in) 58
House,New York,N/A,2012,District 2,2,20120101,"142,309","King, Peter T.",Incumbent,"100,545","Falcone, Vivianne",Challenger,Write-in,89,Scattered Write-In,Challenger,N/A,"41,764",R,.04,58.60,41.40,
House,New York,N/A,2018,District 3,3,20120101,"109,514","DeBono, Dan",Challenger,"157,456","Suozzi, Thomas R.",Incumbent,Write-in,92,Scattering,Challenger,N/A,"47,942",D,.03,41.02,58.98,
House,New York,N/A,2016,District 3,3,20120101,"152,304","Martins, Jack M.",Challenger,"171,775","Suozzi, Thomas R.",Incumbent,Write-in,175,Scattering,Challenger,N/A,"19,471",D,.05,47.00,53.00,
House,New York,N/A,2014,District 3,3,20120101,"74,269","Lally, Grant M.",Challenger,"90,032","Israel, Steve J.",Incumbent,Write-in,74,Write-In,Challenger,N/A,"15,763",D,.05,45.20,54.80,
House,New York,N/A,2012,District 3,3,20120101,"113,203","Labate, Stephen",Challenger,"157,880","Israel, Steve J.",Incumbent,Libertarian,"1,644","McDermott, Michael",Challenger,444,"44,677",D,.60,41.76,58.24,"The other vote was: Tolda, Anthony (Constitution) 367; Scattered Write-In (Write-in) 77"
House,New York,N/A,2018,District 4,4,20120101,"100,571","Benno, Ameer ",Challenger,"159,535","Rice, Kathleen M.",Incumbent,Write-in,100,Scattering,Challenger,N/A,"58,964",D,.04,38.67,61.33,
House,New York,N/A,2016,District 4,4,20120101,"126,438","Gurfein, David",Challenger,"186,423","Rice, Kathleen M.",Incumbent,Write-in,139,Scattering,Challenger,N/A,"59,985",D,.04,40.41,59.59,
House,New York,N/A,2014,District 4,4,20120101,"80,127","Blakeman, Bruce",Challenger,"89,793","Rice, Kathleen M.",Challenger,Write-in,179,Write-In,Challenger,N/A,"9,666",D,.11,47.16,52.84,
House,New York,N/A,2012,District 4,4,20120101,"85,693","Becker, Francis X. Jr.",Challenger,"163,955","McCarthy, Carolyn",Incumbent,Conservative,"15,603","Scaturro, Frank",Challenger,49,"78,262",D,5.88,34.33,65.67,The other vote was: Scattered Write-In (Write-in) 49
House,New York,N/A,2018,District 5,5,20120101,N/A,N/A,N/A,"160,500","Meeks, Gregory W.",Incumbent,Write-in,971,Scattering,Challenger,N/A,"159,529",D,.60,.00,100.00,
House,New York,N/A,2016,District 5,5,20120101,"30,312","O'Reilly, Michael",Challenger,"199,815","Meeks, Gregory W.",Incumbent,Green,"3,587","Francois, Frank",Challenger,139,"169,503",D,1.53,13.17,86.83,The other vote was: Scattering (Write-in) 139
House,New York,N/A,2014,District 5,5,20120101,N/A,N/A,N/A,"75,712","Meeks, Gregory W.",Incumbent,Allen 4 Congress,"3,870","Steinhardt, Allen F.",Challenger,239,"71,842",D,4.85,.00,100.00,The other vote was: Write-In (Write-in) 239
House,New York,N/A,2012,District 5,5,20120101,"17,875","Jennings, Allan Jr.",Challenger,"167,836","Meeks, Gregory W.",Incumbent,Libertarian,"1,345","Wark, Catherine",Challenger,85,"149,961",D,.72,9.63,90.37,The other vote was: Scattered Write-In (Write-in) 85
House,New York,N/A,2018,District 6,6,20120101,N/A,N/A,N/A,"111,646","Meng, Grace",Incumbent,Green,"11,209","Hillgardner, Thomas J.",Challenger,566,"100,437",D,9.08,.00,100.00,The other vote was: Scattering (Write-in) 566
House,New York,N/A,2016,District 6,6,20120101,"50,617","Maio, Danniel",Challenger,"136,506","Meng, Grace",Incumbent,HealthCare,"2,123","Bhatti, Haris",Challenger,187,"85,889",D,1.12,27.05,72.95,The other vote was: Scattering (Write-in) 187
House,New York,N/A,2014,District 6,6,20120101,N/A,N/A,N/A,"55,368","Meng, Grace",Incumbent,Write-in,595,Write-In,Challenger,N/A,"54,773",D,1.06,.00,100.00,
House,New York,N/A,2012,District 6,6,20120101,"50,846","Halloran, Daniel",Challenger,"111,501","Meng, Grace",Challenger,Green,"1,913","Chou, Evergreen",Challenger,114,"60,655",D,1.16,31.32,68.68,The other vote was: Scattered Write-In (Write-in) 114
House,New York,N/A,2018,District 7,7,20120101,N/A,N/A,N/A,"146,687","Velazquez, Nydia",Incumbent,Conservative,"8,670","Lieberman, Joseph",Challenger,"1,945","138,017",D,5.51,.00,100.00,"The other vote was: Kurzon, Jeff (Reform) 1,740; Scattering (Write-in) 205"
House,New York,N/A,2016,District 7,7,20120101,"17,478","Romaguera, Allan E.",Challenger,"172,146","Velazquez, Nydia",Incumbent,Write-in,266,Scattering,Challenger,N/A,"154,668",D,.14,9.22,90.78,
House,New York,N/A,2014,District 7,7,20120101,"5,713","Fernandez, Jose Luis",Challenger,"56,593","Velazquez, Nydia",Incumbent,Conservative,"1,398","Romaguera, Allan E.",Challenger,108,"50,880",D,2.19,9.17,90.83,The other vote was: Write-In (Write-in) 108
House,New York,N/A,2012,District 7,7,20120101,N/A,N/A,N/A,"143,930","Velazquez, Nydia",Incumbent,Conservative,"7,971","Murray, James",Challenger,210,"135,959",D,5.24,.00,100.00,The other vote was: Scattered Write-In (Write-in) 210
House,New York,N/A,2018,District 8,8,20120101,N/A,N/A,N/A,"180,376","Jeffries, Hakeem",Challenger,Conservative,"9,997","Johnson, Ernest C.",Challenger,"1,194","170,379",D,5.22,.00,100.00,"The other vote was: White, Jessica L. (Reform) 1,031; Scattering (Write-in) 163"
House,New York,N/A,2016,District 8,8,20120101,N/A,N/A,N/A,"214,595","Jeffries, Hakeem",Incumbent,Conservative,"15,401","Cavanagh, Daniel",Challenger,207,"199,194",D,6.69,.00,100.00,The other vote was: Scattering (Write-in) 207
House,New York,N/A,2014,District 8,8,20120101,N/A,N/A,N/A,"77,255","Jeffries, Hakeem",Incumbent,Conservative,"6,673","Bellone, Alan",Challenger,71,"70,582",D,7.94,.00,100.00,The other vote was: Write-In (Write-in) 71
House,New York,N/A,2012,District 8,8,20120101,"17,650","Bellone, Alan",Challenger,"184,039","Jeffries, Hakeem",Challenger,Green,"2,441","Beavan, Colin",Challenger,77,"166,389",D,1.20,8.75,91.25,The other vote was: Scattered Write-In (Write-in) 77
House,New York,N/A,2018,District 9,9,20120101,"20,901"," Gayot, Lutchi",Challenger,"181,455","Clarke, Yvette D.",Incumbent,Reform,779,"Anabilah-Azumah, Joel",Challenger,288,"160,554",D,.38,10.33,89.67,The other vote was: Scattering (Write-in) 288
House,New York,N/A,2016,District 9,9,20120101,N/A,N/A,N/A,"214,189","Clarke, Yvette D.",Incumbent,Conservative,"17,576","Bellone, Alan",Challenger,329,"196,613",D,7.57,.00,100.00,The other vote was: Scattering (Write-in) 329
House,New York,N/A,2014,District 9,9,20120101,N/A,N/A,N/A,"82,659","Clarke, Yvette D.",Incumbent,Conservative,"9,727","Cavanagh, Daniel",Challenger,183,"72,932",D,10.51,.00,100.00,The other vote was: Write-In (Write-in) 183
House,New York,N/A,2012,District 9,9,20120101,"24,164","Cavanagh, Daniel",Challenger,"186,141","Clarke, Yvette D.",Incumbent,Green,"2,991","Morgan, Vivia",Challenger,135,"161,977",D,1.40,11.49,88.51,The other vote was: Scattered Write-In (Write-in) 135
