CONGRESS 2012 to 2020 in TENNESSEE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Tennessee,N/A,2018,District 1,1,20120101,"172,835","Roe, Phil",Incumbent,"47,138","Olsen, Martin",Challenger,Independent,"4,309","Salyer, Michael D.",Challenger,N/A,"125,697",R,1.92,78.57,21.43,
House,Tennessee,N/A,2016,District 1,1,20120101,"198,293","Roe, Phil",Incumbent,"39,024","Bohms, Alan",Challenger,Independent,"15,702","Franklin, Robert D.",Challenger,6,"159,269",R,6.21,83.56,16.44,"The other vote was: Krane, Paul (Write-in) 6"
House,Tennessee,N/A,2014,District 1,1,20120101,"115,533","Roe, Phil",Incumbent,N/A,N/A,N/A,Independent,"9,906","Franklin, Robert D.",Challenger,"14,031","105,627",R,7.1,100,0,"The other vote was: Smith, Robert N. (Green) 9,869; Salyer, Michael D. (Independent) 4,148; Kudialis, Scott (Write-in) 14"
House,Tennessee,N/A,2012,District 1,1,20120101,"182,252","Roe, Phil",Incumbent,"47,663","Woodruff, Alan",Challenger,Independent,"4,837","Brackett, Karen Sherry",Challenger,"4,920","134,589",R,2.02,79.27,20.73,"The other vote was: Smith, Robert N. (Green) 2,872; Salyer, Michael D. (Independent) 2,048"
House,Tennessee,N/A,2018,District 2,2,20120101,"172,856","Burchett, Tim",Challenger,"86,668","Hoyos, Renee",Challenger,Independent,967,"Samples, Greg",Challenger,"1,643","86,188",R,0.37,66.61,33.39,"The other vote was: Grunau, Jeffrey (Independent) 657; Whitmire, Marc (Independent) 637; Latorre, Keith A. (Independent) 349"
House,Tennessee,N/A,2016,District 2,2,20120101,"212,455","Duncan, John J. Jr.",Incumbent,"68,401","Starr, Stuart",Challenger,N/A,N/A,N/A,N/A,N/A,"144,054",R,0,75.65,24.35,
House,Tennessee,N/A,2014,District 2,2,20120101,"120,883","Duncan, John J. Jr.",Incumbent,"37,612","Scott, Bob",Challenger,Independent,"4,223","Gouge, Casey Adam",Challenger,"4,033","83,271",R,2.53,76.27,23.73,"The other vote was: Dryer, Norris (Green) 4,033"
House,Tennessee,N/A,2012,District 2,2,20120101,"196,894","Duncan, John J. Jr.",Incumbent,"54,522","Goodale, Troy",Challenger,Green,"5,733","Dryer, Norris",Challenger,"7,356","142,372",R,2.17,78.31,21.69,"The other vote was: Samples, Greg (Independent) 4,382; Stewart, Brandon (Independent) 2,974"
House,Tennessee,N/A,2018,District 3,3,20120101,"156,512","Fleischmann, Charles",Incumbent,"84,731","Mitchell, Danielle",Challenger,Independent,"4,522","Tyler, Rick",Challenger,N/A,"71,781",R,1.84,64.88,35.12,
House,Tennessee,N/A,2016,District 3,3,20120101,"176,613","Fleischmann, Charles",Incumbent,"76,727","Shekari, Melody",Challenger,Independent,"5,098","Tyler, Rick",Challenger,"7,568","99,886",R,1.92,69.71,30.29,"The other vote was: Mitchell, Cassandra J. (Independent) 5,075; Kersting, Topher (Independent) 2,493"
